Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
15;Ryan Arcidiacono;PG;28;NYK;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
16;Deni Avdija;SF;22;WAS;7;6;17.1;1.7;4.1;0.414;0.7;1.7;0.417;1;2.4;0.412;0.5;0.7;0.9;0.833;0.1;3.1;3.3;1.3;0.6;0.6;0.6;2.7;4.9
17;Deandre Ayton;C;24;PHO;5;5;26;6.8;12.4;0.548;0.2;0.6;0.333;6.6;11.8;0.559;0.556;1.6;2.2;0.727;2;6.2;8.2;2;0.6;0.4;2.6;3.8;15.4
18;Udoka Azubuike;C;23;UTA;2;0;6;1;1.5;0.667;0;0;0;1;1.5;0.667;0.667;0;0;0;0;2.5;2.5;0;1;0.5;0.5;0.5;2
19;Patrick Baldwin Jr.;SF;20;GSW;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Mo Bamba;C;24;ORL;8;0;13.4;2;4.8;0.421;0.6;2.4;0.263;1.4;2.4;0.579;0.487;0.4;0.6;0.6;0.6;2.8;3.4;0.8;0.1;0.6;0.8;2;5
21;Paolo Banchero;PF;20;ORL;8;8;33.8;7.4;16.8;0.44;1.1;4;0.281;6.3;12.8;0.49;0.474;5.9;7.9;0.746;1;6.6;7.6;3.6;0.6;1;2.8;2.1;21.8
22;Desmond Bane;SG;24;MEM;6;6;33;8.2;18.5;0.441;4.2;9.3;0.446;4;9.2;0.436;0.554;3.7;4.3;0.846;0.5;4.2;4.7;5;0.8;0.5;2.2;2.7;24.2
23;Dalano Banton;PG;23;TOR;7;0;7.7;1.1;2.6;0.444;0.3;1.1;0.25;0.9;1.4;0.6;0.5;0.3;0.3;1;0.3;0.7;1;0.6;0.3;0.3;0.3;0.6;2.9
24;Harrison Barnes;PF;30;SAC;6;6;32.7;3.3;8.3;0.4;0.3;3;0.111;3;5.3;0.563;0.42;4.3;5.5;0.788;0.8;4.7;5.5;2.5;0.5;0.2;1.3;1.7;11.3
25;Scottie Barnes;PF;21;TOR;6;6;29.3;6;11.5;0.522;1.8;3.5;0.524;4.2;8;0.521;0.601;1.7;2.2;0.769;1.2;4.7;5.8;4.3;1.2;0.5;1.8;1.8;15.5
